tip,residual,distance,date,z
SIM_ZMB_014_2022.97,-0.0381315269238768,0.0314797095,2022.97,-5.387551350290486
SIM_ZAF_037_2018.14,0.01259636745046305,0.0704825588,2018.14,1.779723550068571
SIM_BWA_035_2019.68,0.010229924781832996,0.07185453630000001,2019.68,1.4453720980479172
SIM_BWA_034_2025.00,0.010098211581110803,0.0846373655,2025,1.4267625198419736
SIM_ZAF_038_2020.08,0.009925497656215093,0.0725211274,2020.08,1.4023600053257452
SIM_BWA_056_2025.00,-0.00992030351888921,0.0646188504,2025,-1.4016261327583153
SIM_ZMB_036_2023.77,0.009763189424886878,0.0813164623,2023.77,1.3794276970391859
SIM_ZAF_029_2019.19,0.009415816508215338,0.06985093070000001,2019.19,1.3303478521642558
SIM_ZAF_047_2015.98,-0.008410956531198352,0.0442317364,2015.98,-1.188372558679724
SIM_ZMB_030_2021.92,0.008144051518370929,0.0752063651,2021.92,1.1506619140174124
SIM_BWA_001_2006.42,-0.007957824838917896,0.0214775325,2006.42,-1.124350200868599
SIM_ZAF_060_2005.04,0.00750260093946014,0.0335879454,2005.04,1.0600322379634097
SIM_ZMB_031_2022.23,0.007398063193516933,0.0752129159,2022.23,1.045262242640721
SIM_BWA_005_2013.85,0.006461796020218944,0.0539338169,2013.85,0.9129783326938649
SIM_ZMB_058_2021.80,-0.006325824813943324,0.0604451833,2021.8,-0.8937671466998378
SIM_ZAF_009_2017.83,-0.005520408124682402,0.051613244100000004,2017.83,-0.7799709228969802
SIM_ZMB_033_2023.02,0.005463648197921027,0.07519626189999999,2023.02,0.7719513903805902
SIM_ZMB_057_2022.51,-0.005351664364415758,0.0631429011,2022.51,-0.7561293475178315
SIM_ZAF_027_2017.34,0.005309590501699947,0.06125374540000001,2017.34,0.7501847889288449
SIM_ZMB_032_2021.78,0.005133895297337543,0.0718563525,2021.78,0.7253610535092827
SIM_ZAF_008_2018.76,-0.005096982099244923,0.0542942875,2018.76,-0.7201456381752875
SIM_ZAF_003_2012.46,0.004454686554241962,0.04855241910000001,2012.46,0.6293965780163703
SIM_BWA_004_2013.49,0.003906258123275105,0.050504362600000005,2013.49,0.5519098741743836
SIM_BWA_051_2007.15,-0.0038911650006762926,0.027316300599999996,2007.15,-0.5497773875000457
SIM_ZAF_018_2018.06,-0.00368054670441292,0.05401144100000001,2018.06,-0.5200194161317633
SIM_ZAF_044_2010.91,-0.0035325147214875494,0.0368025222,2010.91,-0.4991041794802677
SIM_ZAF_007_2020.31,-0.003413705123515419,0.059740260100000005,2020.31,-0.4823177336801806
SIM_ZAF_026_2015.08,-0.0034116676235571297,0.0470462343,2015.08,-0.48202985809435855
SIM_BWA_052_2007.97,-0.0032013625631934894,0.029996690399999998,2007.97,-0.45231614339845994
SIM_BWA_002_2005.64,-0.00309004259896755,0.0244518292,2005.64,-0.4365878977193128
SIM_BWA_043_2009.21,0.0029260895373899995,0.039134299,2009.21,0.41342319361371094
SIM_ZAF_054_2021.47,-0.00267742067780847,0.0632924974,2021.47,-0.37828911013239175
SIM_ZAF_010_2016.08,-0.00261447168760268,0.050270975800000006,2016.08,-0.36939513329638235
SIM_ZAF_019_2013.80,-0.0024317646015788877,0.044918879,2013.8,-0.3435806986953186
SIM_BWA_042_2006.69,0.002287737858784756,0.0323785325,2006.69,0.32323135695069016
SIM_ZMB_016_2025.00,-0.0019006453188892079,0.0726385086,2025,-0.26853958076861006
SIM_ZMB_015_2024.83,0.0018865578269987122,0.076013029,2024.83,0.2665491782833289
SIM_ZMB_040_2007.69,0.001875832994739202,0.0343941732,2007.69,0.2650338813838181
SIM_ZMB_006_2011.60,-0.0017718284606785548,0.040238214900000006,2011.6,-0.25033922283963306
SIM_ZMB_049_2007.36,-0.0017053057691253928,0.030011944399999997,2007.36,-0.24094032262203438
SIM_BWA_013_2016.06,-0.0017033699763218124,0.05113352660000001,2016.06,-0.24066681710116625
SIM_ZAF_046_2010.14,-0.0016630409371725142,0.0368027859,2010.14,-0.23496878225041212
SIM_ZMB_041_2006.40,0.001648851972357875,0.0310356584,2006.4,0.2329640427942937
SIM_BWA_021_2010.18,0.0016301841402657636,0.040193112800000014,2010.18,0.2303264902988054
SIM_ZAF_055_2015.21,0.0016208259531166782,0.0523943088,2015.21,0.2290042848200692
SIM_ZAF_012_2013.66,-0.0014154146226128183,0.0455953726,2013.66,-0.19998199853108056
SIM_ZAF_011_2016.97,0.0013083928603965264,0.0563543559,2016.97,0.18486103994240638
SIM_ZAF_059_2013.60,-0.0012234857887696733,0.045641648699999995,2013.6,-0.17286463577779837
SIM_ZAF_045_2011.75,-8.558220952856124e-4,0.0415183531,2011.75,-0.12091793476482322
SIM_ZAF_025_2011.69,7.276803385569885e-4,0.0429562028,2011.69,0.10281296100203359
SIM_BWA_022_2012.21,7.136893452533522e-4,0.04420453550000001,2012.21,0.10083619267026997
SIM_ZMB_017_2020.39,-6.830942686394342e-4,0.06266507460000001,2020.39,-0.09651345608926153
SIM_ZAF_024_2006.16,6.632855077288325e-4,0.029467481,2006.16,0.09371470331955085
SIM_ZAF_048_2009.99,-6.29716002565461e-4,0.037471979,2009.99,-0.08897171379194674
SIM_BWA_023_2013.00,-5.30334850342549e-4,0.04487827230000001,2013,-0.07493028655194
SIM_ZAF_053_2020.84,-4.800839724595096e-4,0.06396048039999999,2020.84,-0.06783040866001827
SIM_BWA_020_2010.15,3.700725071870579e-4,0.03886017480000001,2010.15,0.05228703901056137
SIM_ZAF_028_2017.13,-3.1325592985094876e-4,0.05512111440000001,2017.13,-0.04425950241185351
SIM_ZMB_050_2007.37,2.943472752341735e-4,0.0320358729,2007.37,0.041587924430825984
SIM_ZMB_039_2011.06,-2.2159535609404942e-4,0.0404775734,2011.06,-0.0313089051567731
