gene,sites,observed,expected,fold,p_value,q_value
env,2535,37,21.304908112953832,1.736689020381328,0.0012109195157558132,0.010898275641802319
nef,621,8,5.219072164948454,1.5328395061728395,0.15637857440424344,0.6534839026199554
vif,579,7,4.8660914388166745,1.4385261945883707,0.21782796753998512,0.6534839026199554
rev_e2,275,3,2.311183325862842,1.2980363636363637,0.40727166208496146,0.9163612396911633
vpu,240,2,2.0170327207530256,0.9915555555555555,0.5997365286727082,1
vpr,291,1,2.4456521739130435,0.4088888888888889,0.9142215200993002,1
pol,3000,17,25.21290900941282,0.6742577777777778,0.9659724579423915,1
gag,1479,6,12.42996414164052,0.4827045300878972,0.984806727441198,1
tat_e1,215,0,1.8069251456745854,0,1,1
