gene,sites,observed,expected,fold,p_value,q_value
vif,579,52,29.26142985208427,1.7770833572678637,5.798803470319727e-5,5.218923123287754e-4
env,2535,170,128.11351411922905,1.3269482237587302,1.6136896675926737e-4,7.261603504167031e-4
vpu,240,19,12.129090094128195,1.5664818920916481,0.036761316489893746,0.11028394946968123
rev_e2,275,19,13.897915732855223,1.3671114694618018,0.10604972679394285,0.23861188528637142
gag,1479,76,74.745517705065,1.0167833782339297,0.457315601443872,0.7588876131314692
vpr,291,15,14.706521739130435,1.0199556541019956,0.5059250754209795,0.7588876131314692
nef,621,20,31.384020618556704,0.6372669787303933,0.989382812873727,0.9953424230353185
pol,3000,125,151.61362617660242,0.8244641537324464,0.9897216768467413,0.9953424230353185
tat_e1,215,4,10.865643209323174,0.36813283143402253,0.9953424230353185,0.9953424230353185
